Ref;Quantité;LIVRFINLU;TIERSLU;Libelle client;Statut;Tiers livré;REFEXTERNELU;Date debut Validité
1001MR035;320;12/13/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;12/20/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;12/27/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;07/11/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;07/18/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;07/25/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;08/01/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;08/08/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;08/29/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;09/12/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;09/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;09/26/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;10/03/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;11/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;11/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;11/28/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;12/05/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;12/12/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;12/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;01/02/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;01/09/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;320;01/16/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;01/23/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;320;01/30/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;02/06/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;02/13/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;02/20/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;03/06/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;04/10/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;04/17/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;04/24/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;04/30/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;05/08/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;05/15/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;05/22/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;05/29/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;06/05/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;06/12/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;06/26/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;07/10/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;07/17/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;160;07/24/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;240;07/31/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;320;08/07/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
1001MR035;80;08/28/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;1001MR035;20190101
W000024158;960;12/06/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;07/18/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;08/15/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;09/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;10/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;11/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;12/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;01/16/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;02/13/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;03/20/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;04/17/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;05/15/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;06/19/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;07/17/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;08/21/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;21110;11/18/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;640;11/25/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;720;12/02/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;720;12/02/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;720;12/20/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;240;12/27/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;720;01/10/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;960;01/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000024158;480;01/24/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000024158;20190101
W000037335;9520;12/13/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1680;01/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;01/24/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;01/31/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;02/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;02/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;02/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
